order_id,product_id,quantity
1001,145,1
1001,146,4
1001,118,2
1002,115,2
1002,106,4
1003,143,5
1003,108,5
1003,128,4
1004,142,3
1004,121,5
1004,105,4
1005,121,5
1005,111,1
1006,129,2
1006,134,4
1007,105,2
1007,132,5
1007,122,5
1008,120,1
1009,113,2
1009,124,2
1010,115,3
1011,122,3
1012,139,1
1012,127,3
1013,146,1
1013,146,4
1014,117,4
1014,108,5
1014,137,2
1015,107,4
1015,106,5
1016,140,1
1016,106,1
1016,102,1
1017,124,2
1018,130,3
1019,140,4
1019,103,3
1020,134,2
1020,119,1
1021,138,2
1021,128,3
1022,131,1
1023,106,1
1023,126,2
1024,106,3
1025,108,4
1026,103,3
1027,130,2
1027,137,3
1028,120,3
1029,123,3
1029,104,2
1029,121,1
1030,129,2
1030,144,2
1030,134,5
1031,112,3
1032,116,3
1032,145,2
1033,131,4
1033,133,4
1034,127,2
1035,137,4
1035,144,5
1036,114,1
1037,108,2
1037,137,3
1038,109,5
1039,134,1
1039,122,2
1040,137,4
1040,109,1
1041,137,3
1041,103,4
1041,136,2
1042,142,4
1042,115,2
1043,143,1
1043,107,3
1044,144,2
1045,140,3
1045,136,5
1045,150,3
1046,113,2
1046,128,2
1047,109,2
1048,123,1
1048,116,5
1048,120,5
1049,133,3
1049,116,1
1049,126,2
1050,130,2
1051,123,1
1052,149,2
1052,150,5
1053,119,4
1053,141,4
1054,101,3
1054,114,1
1054,111,3
1055,112,1
1055,105,2
1055,122,4
1056,114,2
1056,107,2
1057,103,2
1057,105,3
1058,121,1
1059,148,4
1059,111,2
1059,125,5
1060,131,5
1061,105,5
1061,132,1
1061,116,4
1062,105,4
1062,131,1
1062,102,3
1063,122,2
1063,144,4
1064,140,2
1064,108,1
1065,131,3
1065,150,5
1066,148,1
1066,119,2
1066,138,4
1067,131,4
1067,150,2
1067,119,2
1068,111,3
1068,111,2
1068,106,5
1069,140,5
1070,149,3
1071,143,4
1072,143,3
1072,131,5
1073,138,1
1073,143,1
1073,121,5
1074,115,2
1075,116,3
1075,145,1
1075,124,1
1076,140,4
1076,125,3
1077,124,2
1077,116,1
1077,146,4
1078,124,4
1078,144,3
1078,104,1
1079,133,1
1079,113,3
1079,140,3
1080,136,5
1080,126,3
1080,110,2
1081,114,1
1082,101,2
1082,139,2
1082,119,2
1083,130,5
1083,105,2
1083,142,2
1084,146,2
1084,115,2
1085,117,3
1085,147,5
1086,118,3
1087,126,4
1087,126,2
1088,103,2
1089,143,2
1089,124,5
1090,106,3
