order_id,customer_id,order_date,status
1001,2851,2024-08-23,Completed
1002,3825,2024-12-09,Completed
1003,2069,2024-12-26,Completed
1004,3762,2024-11-18,Completed
1005,2276,2024-09-09,Completed
1006,1809,2024-04-27,Cancelled
1007,1312,2024-01-30,Completed
1008,4056,2024-04-20,Completed
1009,2452,2024-09-10,Completed
1010,1090,2024-07-17,Completed
1011,1673,2024-10-21,Completed
1012,3676,2024-12-07,Completed
1013,4533,2024-10-23,Cancelled
1014,4925,2024-10-13,Returned
1015,4355,2024-08-31,Completed
1016,2004,2024-08-08,Completed
1017,4199,2024-06-04,Completed
1018,4865,2024-08-23,Returned
1019,1125,2024-11-15,Completed
1020,1222,2024-01-19,Completed
1021,2861,2024-08-02,Completed
1022,2274,2024-04-23,Completed
1023,2991,2024-07-18,Completed
1024,2511,2024-01-25,Completed
1025,237,2024-04-30,Completed
1026,1145,2024-08-17,Completed
1027,3254,2024-04-08,Completed
1028,3783,2024-12-11,Completed
1029,767,2024-01-03,Returned
1030,2682,2024-09-17,Completed
1031,2666,2024-09-10,Completed
1032,1760,2024-01-20,Completed
1033,3492,2024-07-22,Returned
1034,2816,2024-10-20,Completed
1035,3514,2024-12-22,Returned
1036,496,2024-05-07,Completed
1037,3181,2024-12-23,Returned
1038,3931,2024-10-18,Cancelled
1039,2073,2024-06-22,Completed
1040,338,2024-08-08,Completed
1041,3950,2024-12-20,Completed
1042,3109,2024-02-06,Completed
1043,1818,2024-11-05,Completed
1044,137,2024-05-28,Completed
1045,2556,2024-04-01,Completed
1046,4416,2024-03-10,Completed
1047,916,2024-03-24,Completed
1048,3539,2024-07-23,Returned
1049,2101,2024-09-23,Completed
1050,2908,2024-03-28,Cancelled
1051,2915,2024-09-08,Completed
1052,1983,2024-07-29,Completed
1053,3871,2024-12-08,Completed
1054,4529,2024-01-31,Completed
1055,3568,2024-12-22,Completed
1056,999,2024-11-11,Completed
1057,2148,2024-03-01,Completed
1058,4695,2024-03-07,Completed
1059,396,2024-08-13,Completed
1060,3599,2024-11-30,Completed
1061,4511,2024-11-22,Completed
1062,939,2024-03-07,Completed
1063,1637,2024-05-07,Completed
1064,2725,2024-04-20,Cancelled
1065,2511,2024-09-28,Returned
1066,4637,2024-10-27,Completed
1067,1650,2024-02-03,Completed
1068,3691,2024-07-30,Completed
1069,3436,2024-10-26,Completed
1070,3202,2024-05-04,Cancelled
1071,4180,2024-04-12,Completed
1072,4367,2024-07-24,Completed
1073,2292,2024-04-29,Completed
1074,4484,2024-06-18,Completed
1075,214,2024-02-04,Completed
1076,3238,2024-11-26,Completed
1077,3863,2024-09-02,Completed
1078,59,2024-12-05,Completed
1079,2931,2024-11-04,Completed
1080,4939,2024-02-27,Completed
1081,2972,2024-11-01,Completed
1082,1528,2024-05-20,Completed
1083,123,2024-04-20,Completed
1084,3720,2024-06-11,Completed
1085,1437,2024-04-20,Completed
1086,1163,2024-05-31,Completed
1087,3301,2024-03-05,Completed
1088,3346,2024-04-15,Completed
1089,2487,2024-08-03,Completed
1090,562,2024-03-31,Completed
1091,3982,2024-01-26,Completed
1092,1738,2024-06-05,Completed
1093,905,2024-03-12,Completed
1094,3555,2024-02-13,Returned
1095,4491,2024-03-30,Completed
1096,1727,2024-05-12,Completed
1097,2924,2024-06-09,Completed
1098,3532,2024-08-19,Completed
1099,3907,2024-09-17,Completed
1100,935,2024-04-20,Completed
1101,75,2024-06-12,Completed
1102,295,2024-03-17,Completed
1103,21,2024-07-27,Completed
1104,3243,2024-01-13,Completed
1105,1039,2024-02-27,Completed
1106,4656,2024-12-09,Completed
1107,1110,2024-02-05,Completed
1108,3772,2024-01-25,Completed
1109,372,2024-02-03,Completed
1110,4914,2024-05-19,Completed
1111,1175,2024-10-01,Completed
1112,1165,2024-12-27,Completed
1113,1093,2024-08-09,Returned
1114,1284,2024-02-06,Cancelled
1115,2012,2024-12-28,Completed
1116,846,2024-05-08,Completed
